PMID,PMC_ID,Title,Journal,PublicationDate,Authors,Abstract,URL,Citation,HTML_FILE
40322626,PMC12045750,Pulmonary Arterial Hypertension in a Patient With Metastatic Lung Cancer on Pembrolizumab: Whom to Blame?,Journal of medical cases,2025,Chintalacheruvu LM; Chilluru VK; Gutta NB,"Immune checkpoint inhibitors (ICIs) play a major role in current cancer treatments. They are associated with immune-mediated side effects due to immune dysregulation. ICI-mediated complications are more commonly known to affect thyroid gland, gastrointestinal system, skin, etc. Pulmonary arterial hypertension (PAH) due to ICIs is not very well described in the literature. Here, we report a case of severe PAH diagnosed in a patient with metastatic lung cancer on long-term pembrolizumab and literature review.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12045750/?report=classic,Chintalacheruvu et al.. Pulmonary Arterial Hypertension in a Patient With Metastatic Lung Cancer on Pembrolizumab: Whom to Blame?. Journal of medical cases. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Pulmonary_Arterial_Hypertension_in_a_Patient_With_Metastatic_Lung_Cancer_on_Pemb_PMC12045750.html
40322409,PMC12048111,A Case of BRAF-V600E-Positive Pulmonary Pleomorphic Carcinoma Successfully Treated With Dabrafenib and Trametinib Administered via a Percutaneous Endoscopic Gastrojejunostomy Tube for Ileus Caused by Small Intestinal Metastasis.,Cureus,2025,Higashi J; Miyoshi K; Hirai K; Kanazawa F; Nakaji H; Miyagaki A,"Pulmonary pleomorphic carcinoma (PPC) is a rare subtype of non-small cell lung cancer (NSCLC). It has a rapid progression and poor prognosis and is resistant to conventional chemotherapy. The efficacy of molecular-targeted drugs for patients with PPC with targetable driver mutations has been reported. However, most molecular-targeted drugs are administered orally, limiting their application in cases where oral administration is difficult. We report the case of a 78-year-old male patient diagnosed with stage IIA lung cancer. He underwent lobectomy and was pathologically diagnosed with PPC harboring a BRAF-V600E mutation. His lung cancer recurred two months postoperatively with multiple metastases, including those in the small intestine, which caused intussusception and ileus. Because the resected specimen from the small intestinal tumor resembled the histopathological results of the preoperative lung tissue, treatment with dabrafenib and trametinib could be effective. A percutaneous endoscopic gastrojejunostomy (PEG-J) tube was placed on the anal side of the intussusception site to depressurize intragastric pressure, allowing drug administration while decompressing the stomach. Treatment initiated for a few days improved abdominal symptoms, and computed tomography (CT) revealed tumor shrinkage. This is the first reported case of a patient with malignant intestinal obstruction successfully treated with targeted therapy drugs administered via a PEG-J tube, which is a viable method for patients with NSCLC with driver mutations who cannot take oral medications or via a nasogastric tube. Furthermore, therapies targeting driver mutations may be effective for patients with PPC.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12048111/?report=classic,Higashi et al.. A Case of BRAF-V600E-Positive Pulmonary Pleomorphic Carcinoma Successfully Treated With Dabrafenib and Trametinib Administered via a Percutaneous Endoscopic Gastrojejunostomy Tube for Ileus Caused by Small Intestinal Metastasis.. Cureus. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/A_Case_of_BRAF_V600E_Positive_Pulmonary_Pleomorphic_Carcinoma_Successfully_Treat_PMC12048111.html
40322404,PMC12050122,Uncovering the True Diagnosis: A Case Report of Multilocular Peritoneal Inclusion Cyst.,Cureus,2025,Al-Saghir M; Gaishauser K; Al-Wahab ZR,"Peritoneal inclusion cysts (PICs) are rare, benign cystic tumors predominantly found in premenopausal females. They often present diagnostic challenges due to their asymptomatic nature and non-specific imaging features, requiring biopsy and immunohistochemistry for a definitive diagnosis. This report presents a case of a large, multilocular PIC initially misdiagnosed as a lymphangioma. A 29-year-old asymptomatic nulliparous female presented for follow-up after an abdominal ultrasound, conducted during a complicated cystitis workup, incidentally revealed a notable fluid collection adjacent to the spleen. Computed tomography of the abdomen and pelvis showed a complex cystic lesion in the left upper quadrant, measuring 7.6 x 11.7 cm. The finding was interpreted as a lymphangioma. Over six months, the lesion doubled in size, prompting further evaluation and doxycycline sclerotherapy. Despite eight months of treatment, the patient began to experience persistent symptoms of abdominal pressure, sharp groin pain, and decreased appetite. Magnetic resonance imaging revealed that the lesion had grown to 7.0 x 17.1 x 34.6 cm. An incisional biopsy confirmed PICs through pathology and immunohistochemistry. Genetic testing for hereditary cancer was negative. The patient underwent extensive surgical resection involving multiple organs, ultimately achieving no gross residual disease. This case underscores the diagnostic challenges posed by PICs and the necessity of biopsy for accurate diagnosis, differentiating them from lymphangiomas. It emphasizes the importance of a multidisciplinary approach and individualized treatment plans when managing PICs. Continued research and long-term follow-up are essential for refining treatment strategies for this rare condition.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12050122/?report=classic,Al-Saghir et al.. Uncovering the True Diagnosis: A Case Report of Multilocular Peritoneal Inclusion Cyst.. Cureus. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Uncovering_the_True_Diagnosis__A_Case_Report_of_Multilocular_Peritoneal_Inclusio_PMC12050122.html
40321156,PMC12048897,Small cell lung cancer with small intestinal metastasis: Case report and literature review.,Open life sciences,2025,Zeng H; Liu Z; Zhu M; Zhang TE,"Patients with small cell lung cancer (SCLC) typically exhibit a poor prognosis, often receiving diagnoses at an advanced stage. Despite recent advances in immunotherapy, the median survival remains approximately one year. Gastrointestinal metastases from lung cancer, based on clinical experience, are exceedingly rare and associated with dire prognoses. This article details the diagnosis and management of an unusual case of SCLC with gastrointestinal metastasis. The patient's survival was notably prolonged compared to typical SCLC outcomes, providing significant clinical insight.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12048897/?report=classic,Zeng et al.. Small cell lung cancer with small intestinal metastasis: Case report and literature review.. Open life sciences. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Small_cell_lung_cancer_with_small_intestinal_metastasis__Case_report_and_literat_PMC12048897.html
40313962,PMC12043871,Case Report: Exploring delayed hyperprogressive disease: a case study of post-immunotherapy in lung cancer.,Frontiers in immunology,2025,Zhou J; Cao K; Wei JX; Wang B; Li MJ; Zhu J; Ai GP; Liu QL,"Recent studies have shown that immunotherapy improves survival outcomes for patients with a late staged cancer. However, in a small number of cases do not benefit from this treatment and instead experience rapid tumor progression, known as hyperprogressive disease (HPD). Currently, HPD is provisionally defined as occurring within two months of receiving immunotherapy. Is HPD that occurs after two months associated with immunotherapy? The existing literature does not provide an answer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12043871/?report=classic,Zhou et al.. Case Report: Exploring delayed hyperprogressive disease: a case study of post-immunotherapy in lung cancer.. Frontiers in immunology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Case_Report__Exploring_delayed_hyperprogressive_disease__a_case_study_of_post_im_PMC12043871.html
40313929,PMC12043563,SMARCA4-deficient NSCLC treated with first-line tislelizumab and fruquintinib achieved remarkable tumor regression: case report and literature review.,Frontiers in immunology,2025,Dong J; Zhang J; Pan H; Wang C; Sheng J,"SMARCA4-deficient non-small cell lung cancer (SMARCA4-dNSCLC) typically lacks target-driven gene alterations and are primarily resistant to cytotoxic drugs. There is currently no standard treatment, especially for those who are unwilling or unable to receive chemotherapy. This case reported that chemotherapy-free strategy with tislelizumab and fruquintinib was utilized as a first-line treatment for a patient with SMARCA4-deficient NSCLC, and the patient achieved remarkable partial remission and lasted more than two years of disease control without severe adverse events.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12043563/?report=classic,Dong et al.. SMARCA4-deficient NSCLC treated with first-line tislelizumab and fruquintinib achieved remarkable tumor regression: case report and literature review.. Frontiers in immunology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/SMARCA4_deficient_NSCLC_treated_with_first_line_tislelizumab_and_fruquintinib_ac_PMC12043563.html
40313527,PMC12043382,Successful Treatment of Innumerable Untreated Brain Metastases With Trastuzumab Deruxtecan in Chemotherapy-Naïve HER2-Mutated Non-Small-Cell Lung Cancer.,Case reports in oncological medicine,2025,Young S; Dougherty SC; DeRidder AM; Fadul CE; Gentzler RD,"In non-small-cell lung cancer (NSCLC), activating human epidermal growth factor receptor 2 (HER2) mutations are found in a small subset of patients and are associated with a higher incidence of brain metastases (BMETSs), conferring poor survival outcomes. Trastuzumab deruxtecan (T-DXd) was recently approved as a second-line agent for use in patients with previously treated, unresectable, or metastatic HER2-mutated NSCLC. We present a case of HER2-mutated NSCLC with BMETS, treated with T-DXd to defer whole-brain radiotherapy (WBRT) because of the concern of long-term neurotoxicity. He initially also received bevacizumab to address the cerebral edema, which allowed stopping corticosteroids. After the first two doses, the patient had remarkable clinical and imaging (brain and systemic) responses without progression after more than 1 year of treatment. T-DXd may be an effective and durable therapy for patients with HER2-mutated NSCLC with brain metastases in situations where intracranial disease would otherwise warrant WBRT. Clinical trials are needed to understand the efficacy and durability of T-DXd in NSCLC with BMETS and the optimal sequence of available therapies.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12043382/?report=classic,Young et al.. Successful Treatment of Innumerable Untreated Brain Metastases With Trastuzumab Deruxtecan in Chemotherapy-Naïve HER2-Mutated Non-Small-Cell Lung Cancer.. Case reports in oncological medicine. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Successful_Treatment_of_Innumerable_Untreated_Brain_Metastases_With_Trastuzumab__PMC12043382.html
40313372,PMC12041744,Rare paracholedochal lymph node metastasis in lung cancer.,Journal of surgical case reports,2025,Marín-Cuartas T; Ritz JP; Getz A; Wöhlke M; Sporn J,"Lung cancer remains the leading cause of cancer-related mortality worldwide. Common metastatic sites include the liver, bones and adrenal glands, while intra-abdominal lymph node metastases (ALNM) are less frequently recognized and often underestimated. Non-small cell lung cancer (NSCLC) accounts for 85% of lung cancer cases. Gastrointestinal and intra-ALNM are rare but likely underdiagnosed, with hematogenous and lymphatic pathways, including the thoracic duct, playing key roles. ALNM occurs in 6%-11% of NSCLC patients, with the porta hepatis being an exceptionally rare site. Advanced staging and follow-up are crucial for detecting ALNM, as they impact prognosis and therapy. Positron emission tomography/computed tomography (PET/CT) has shown superior sensitivity compared to CT in detecting extrathoracic metastases, influencing management in up to 25% of NSCLC cases. Here, we present the case of a NSCLC patient with a paracholedochal lymph node metastasis and explore various metastatic pathways emphasizing the pivotal role of PET/CT imaging.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12041744/?report=classic,Marín-Cuartas et al.. Rare paracholedochal lymph node metastasis in lung cancer.. Journal of surgical case reports. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Rare_paracholedochal_lymph_node_metastasis_in_lung_cancer__PMC12041744.html
40308508,PMC12040630,Advanced lung adenocarcinoma harboring uncommon EGFR 19 Del and T790M/trans-C797S mutations after resistance: a case report and literature review.,Frontiers in oncology,2025,Xiao Y; Ren D; Bi H; Zhou Y; Shao Y; Han W; Na N; Wang H,"The most common epidermal growth factor receptor (EGFR) mutation in non-small cell lung cancer (NSCLC) is exon 19 deletion (19del), which is sensitive to EGFR tyrosine kinase inhibitors (EGFR-TKIs). However, uncommon EGFR 19del mutations exhibit varied responses to EGFR-TKI treatment. Research and clinical data on these uncommon subtypes are limited. Additionally, resistance to EGFR-TKIs is inevitable. EGFR C797S is a frequent mechanism of resistance to third-generation EGFR-TKIs, usually occurs in cis with T790M and in 5% of patients in trans. Here, we report a patient diagnosed with lung adenocarcinoma harboring EGFR 19Del L747-A755delinsSKD mutation with co-occurring T790M and trans-C797S mutations, who showed a positive response to combination therapy with first- and third-generation TKIs. This case report suggests an effective treatment option for such patients.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040630/?report=classic,Xiao et al.. Advanced lung adenocarcinoma harboring uncommon EGFR 19 Del and T790M/trans-C797S mutations after resistance: a case report and literature review.. Frontiers in oncology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Advanced_lung_adenocarcinoma_harboring_uncommon_EGFR_19_Del_and_T790M_trans_C797_PMC12040630.html
40308505,PMC12040700,Case Report: A case of first-line treatment for rare ROS1 fusion mutation lung adenocarcinoma with entrectinib.,Frontiers in oncology,2025,Yang Y; Yi Q; Yang W; Luo Y; Zhang L,"The incidence of the ROS1 fusion mutation (ROS proto-oncogene 1) in non-small cell lung cancer (NSCLC) is approximately 1-2%. At least 55 partner genes have been identified that can fuse with ROS1.Herein, we report a case of a lung adenocarcinoma patient harboring a rare ROS1 fusion mutation with brain metastasis, who achieved good control of both lung and intracranial lesions after treatment with Entrectinib. A 68-year-old female patient with no smoking history presented with a cough and headache. She was diagnosed with advanced lung adenocarcinoma, stage T1cN3M1c IVb, which included multiple brain metastases. An IGR (downstream MAN1A1) ROS1:exon34 fusion was detected at a mutant allele frequency (MAF) of 12.73%, accompanied by two TP53 mutations c.1024C>T (p.R342*) and c.686_687del (p.C229Yfs*10). The resultant fusion protein preserves the whole TRKA kinase domain of ROS1, and therefore may constitutively activate ROS1.Therefore, RNA-seq was conducted to further confirm the expression of IGR-ROS1 fusion at mRNA level. A CD74:exon6 ~ ROS1: exon 35 fusion was identified, which could mediate the full kinase function. A biopsy of the right supraclavicular lymph node confirmed the diagnosis of lung adenocarcinoma. She was diagnosed with advanced lung adenocarcinoma, stage T1cN3M1c IVb, which included multiple brain metastases. The patient began treatment with entrectinib (600 mg, once daily) as a first-line therapy. At the time of diagnosis, the patient reported headaches and experienced sleep disturbances. Subsequently, the patient underwent whole-brain radiotherapy. Significant improvements were noted in her headache and insomnia symptoms. After one month, the longest diameter of the left upper lung nodule decreased from 19 mm to 12 mm, and there was a notable reduction in the right hilar and mediastinal lymph nodes. Additionally, the patient's intracranial metastatic lesion reduced in size from 19 mm to 8 mm, leading to an improvement in her headache symptoms. It is worth further exploring whether patients carrying IGR fusions can receive targeted therapy.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040700/?report=classic,Yang et al.. Case Report: A case of first-line treatment for rare ROS1 fusion mutation lung adenocarcinoma with entrectinib.. Frontiers in oncology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Case_Report__A_case_of_first_line_treatment_for_rare_ROS1_fusion_mutation_lung_a_PMC12040700.html
